codmunic;Munic­pio.x;homic 2016;pop 2016;taxa
261390;Serra Talhada;38;84970;44,72166647
293050;Serrinha;38;82621;45,99314944
352250;Itapevi;38;226488;16,77793084
420460;Criciœma;38;209153;18,16851778
150020;Acarÿ;37;54080;68,41715976
280060;Barra dos Coqueiros;37;29248;126,5043764
330380;Paraty;37;40975;90,29896278
351300;Cotia;37;233696;15,83253457
352720;Lorena;37;87584;42,24515893
521190;Jata­;37;97077;38,11407439
220770;Parna­ba;36;150201;23,96788304
270880;S’o Sebasti’o;36;34387;104,6907261
292100;Mata de S’o Jo’o;36;46392;77,59958614
292550;Prado;36;29273;122,9802207
312410;Esmeraldas;36;68133;52,83783189
313505;Ja­ba;36;37516;95,95905747
330040;Barra Mansa;36;180126;19,98600979
330340;Nova Friburgo;36;185102;19,44873637
351620;Franca;36;344704;10,44374304
352590;Jundia­;36;405740;8,872677084
510704;Primavera do Leste;36;58370;61,67551825
510792;Sorriso;36;82792;43,48246207
230625;Itaitinga;35;38933;89,89802995
270690;Pilar;35;35428;98,791916
280210;EstŸncia;35;68846;50,83810243
292880;Santo Est?v’o;35;53473;65,4535934
316990;Ubÿ;35;112186;31,19818872
320150;Colatina;35;123598;28,31761032
352900;Mar­lia;35;233639;14,98037571
421620;S’o Francisco do Sul;35;49658;70,48209755
510642;Peixoto de Azevedo;35;33296;105,1177319
150800;Tom?-A?u;34;61095;55,65103527
210140;Balsas;34;93511;36,35935879
240200;Caic½;34;67747;50,18672414
250180;Bayeux;34;96583;35,20288249
261310;S’o Caitano;34;36895;92,15340832
290980;Cruz das Almas;34;64552;52,67071508
291390;Ipiaœ;34;47606;71,41956896
292700;Rio Real;34;41085;82,75526348
351510;Embu-Gua?u;34;67788;50,15636986
351840;Guaratinguetÿ;34;119753;28,39177307
355070;S’o Sebasti’o;34;84294;40,33501791
430210;Bento Gon?alves;34;114203;29,77154716
170950;Gurupi;33;84628;38,99418632
210232;Buriticupu;33;71227;46,33074536
240580;Jo’o CŸmara;33;34839;94,72143288
260500;Cupira;33;23909;138,0233385
292860;Santo Amaro;33;61836;53,3669707
315120;Pirapora;33;56474;58,43396961
330360;Paracambi;33;50071;65,90641289
110045;Buritis;32;38450;83,22496749
150220;Capanema;32;66759;47,93361195
150370;Itupiranga;32;51806;61,76890708
231140;Quixeramobim;32;77931;41,06196507
280740;Tobias Barreto;32;51770;61,81186015
290580;Camamu;32;36543;87,56807049
291400;Ipirÿ;32;62697;51,03912468
320060;Aracruz;32;96746;33,0763029
330185;Guapimirim;32;57105;56,0371246
330390;Petr½polis;32;298158;10,73256461
330555;Serop?dica;32;83667;38,24685957
350600;Bauru;32;369368;8,663446752
351907;HortolŸndia;32;219039;14,6092705
412625;Sarandi;32;91344;35,03240497
430676;Eldorado do Sul;32;38199;83,77182649
500830;Tr?s Lagoas;32;115561;27,69100302
510250;Cÿceres;32;90881;35,21088016
150230;Capit’o Po?o;31;52768;58,74772589
150548;Pacajÿ;31;45596;67,98842004
210860;Pinheiro;31;81924;37,83994922
231025;Paraipaba;31;32256;96,10615079
240020;A?u;31;57743;53,68616109
260030;Agrestina;31;24454;126,7686268
260140;Barreiros;31;42331;73,23238289
291270;Ibirapitanga;31;24238;127,8983414
330030;Barra do Pira­;31;97152;31,90876153
352210;Itanha?m;31;97439;31,81477642
430470;Carazinho;31;62193;49,84483784
130340;Parintins;30;112716;26,61556478
150085;Anapu;30;26271;114,1943588
211400;Z? Doca;30;50806;59,04814392
230350;Cascavel;30;70574;42,50857256
261540;Toritama;30;43174;69,48626488
270915;Teot?nio Vilela;30;44426;67,52802413
291370;Inhambupe;30;40908;73,33528894
317130;Vi?osa;30;77863;38,52921156
351570;Ferraz de Vasconcelos;30;186808;16,05926941
420320;Camboriœ;30;76592;39,16858158
520880;Goianira;30;40338;74,37156032
150618;Rondon do Parÿ;29;50460;57,47126437
210830;Penalva;29;37833;76,65265773
231160;Reden?’o;29;27358;106,0019007
231350;Trairi;29;54820;52,90040131
251620;Sousa;29;69196;41,90993699
260850;Lagoa de Itaenga;29;21308;136,0991177
261090;Pesqueira;29;66524;43,59328964
261300;S’o Bento do Una;29;58251;49,78455305
270040;Atalaia;29;47528;61,01666386
270860;S’o Miguel dos Campos;29;61204;47,38252402
